Country Name,Country Code,Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Latin America & Caribbean,1.786,1.769,1.754,1.739,1.726,1.713,1.701,1.69,1.681,1.673
Angola,AGO,Sub-Saharan Africa,6.704,6.657,6.598,6.523,6.434,6.331,6.218,6.099,5.979,5.863
Albania,ALB,Europe & Central Asia,2.004,1.919,1.849,1.796,1.761,1.744,1.741,1.748,1.76,1.771
United Arab Emirates,ARE,Middle East & North Africa,2.236,2.149,2.071,2.004,1.948,1.903,1.868,1.841,1.82,1.801
Argentina,ARG,Latin America & Caribbean,2.31,2.286,2.268,2.254,2.241,2.228,2.215,2.201,2.188,2.175
Armenia,ARM,Europe & Central Asia,1.715,1.724,1.728,1.731,1.734,1.736,1.738,1.738,1.739,1.74
Australia,AUS,East Asia & Pacific,1.768,1.807,1.908,1.959,1.963,1.888,1.927,1.927,1.921,1.921
Austria,AUT,Europe & Central Asia,1.42,1.41,1.41,1.38,1.42,1.39,1.44,1.43,1.44,1.44
Azerbaijan,AZE,Europe & Central Asia,2.0535,2,1.97,1.97,1.9,1.82,1.92,1.96,2,2
Burundi,BDI,Sub-Saharan Africa,6.803,6.729,6.65,6.567,6.481,6.393,6.304,6.214,6.123,6.033
Belgium,BEL,Europe & Central Asia,1.72,1.76,1.8,1.82,1.85,1.84,1.86,1.81,1.79,1.79
Benin,BEN,Sub-Saharan Africa,5.645,5.553,5.459,5.365,5.273,5.182,5.095,5.01,4.927,4.845
Burkina Faso,BFA,Sub-Saharan Africa,6.335,6.265,6.193,6.116,6.037,5.954,5.869,5.781,5.693,5.605
Bangladesh,BGD,South Asia,2.702,2.607,2.52,2.443,2.377,2.322,2.277,2.24,2.208,2.177
Bulgaria,BGR,Europe & Central Asia,1.29,1.32,1.38,1.49,1.56,1.66,1.57,1.51,1.5,1.5
Bahrain,BHR,Middle East & North Africa,2.529,2.449,2.367,2.292,2.229,2.179,2.142,2.115,2.094,2.075
"Bahamas, The",BHS,Latin America & Caribbean,1.857,1.853,1.862,1.876,1.889,1.898,1.901,1.898,1.893,1.888
Bosnia and Herzegovina,BIH,Europe & Central Asia,1.21,1.199,1.199,1.207,1.218,1.23,1.242,1.255,1.268,1.283
Belarus,BLR,Europe & Central Asia,1.2,1.21,1.287,1.37,1.42,1.42,1.44,1.51,1.62,1.62
Belize,BLZ,Latin America & Caribbean,3.208,3.122,3.043,2.971,2.907,2.851,2.801,2.756,2.715,2.676
Bolivia,BOL,Latin America & Caribbean,3.809,3.72,3.633,3.551,3.477,3.413,3.357,3.308,3.264,3.221
Brazil,BRA,Latin America & Caribbean,2.135,2.066,2.001,1.944,1.897,1.862,1.838,1.822,1.811,1.801
Barbados,BRB,Latin America & Caribbean,1.81,1.817,1.822,1.827,1.831,1.835,1.839,1.842,1.845,1.849
Brunei Darussalam,BRN,East Asia & Pacific,2.211,2.177,2.147,2.119,2.095,2.072,2.051,2.031,2.012,1.994
Bhutan,BTN,South Asia,2.923,2.793,2.682,2.587,2.506,2.436,2.375,2.322,2.275,2.232
Botswana,BWA,Sub-Saharan Africa,3.079,3.017,2.962,2.91,2.86,2.811,2.761,2.712,2.665,2.619
Central African Republic,CAF,Sub-Saharan Africa,5.176,5.089,4.997,4.903,4.809,4.716,4.626,4.538,4.451,4.365
Canada,CAN,North America,1.53,1.54,1.5862,1.6589,1.6808,1.668,1.6269,1.61,1.61,1.61
Switzerland,CHE,Europe & Central Asia,1.42,1.42,1.44,1.46,1.48,1.5,1.52,1.52,1.52,1.52
Chile,CHL,Latin America & Caribbean,1.96,1.939,1.92,1.903,1.888,1.873,1.858,1.844,1.832,1.82
China,CHN,East Asia & Pacific,1.566,1.585,1.602,1.617,1.63,1.642,1.65,1.657,1.663,1.668
Cameroon,CMR,Sub-Saharan Africa,5.413,5.358,5.299,5.235,5.167,5.094,5.017,4.939,4.859,4.78
"Congo, Rep.",COG,Sub-Saharan Africa,5.122,5.119,5.114,5.109,5.101,5.089,5.072,5.046,5.012,4.969
Colombia,COL,Latin America & Caribbean,2.518,2.496,2.475,2.454,2.43,2.405,2.376,2.346,2.316,2.286
Comoros,COM,Sub-Saharan Africa,5.254,5.216,5.168,5.112,5.051,4.986,4.919,4.85,4.782,4.714
Cabo Verde,CPV,Sub-Saharan Africa,3.037,2.895,2.77,2.66,2.567,2.49,2.427,2.375,2.331,2.292
Costa Rica,CRI,Latin America & Caribbean,2.134,2.067,2.006,1.953,1.909,1.874,1.847,1.827,1.81,1.795
Cuba,CUB,Latin America & Caribbean,1.592,1.57,1.545,1.52,1.498,1.48,1.467,1.459,1.453,1.449
Cyprus,CYP,Europe & Central Asia,1.549,1.529,1.514,1.503,1.493,1.485,1.478,1.47,1.465,1.461
Czech Republic,CZE,Europe & Central Asia,1.23,1.29,1.34,1.45,1.51,1.51,1.51,1.43,1.45,1.45
Germany,DEU,Europe & Central Asia,1.36,1.34,1.33,1.37,1.38,1.36,1.39,1.36,1.38,1.38
Denmark,DNK,Europe & Central Asia,1.78,1.8,1.85,1.84,1.89,1.84,1.87,1.75,1.73,1.73
Dominican Republic,DOM,Latin America & Caribbean,2.781,2.751,2.719,2.686,2.652,2.618,2.584,2.551,2.517,2.484
Algeria,DZA,Middle East & North Africa,2.448,2.507,2.58,2.656,2.725,2.781,2.817,2.829,2.82,2.795
Ecuador,ECU,Latin America & Caribbean,2.897,2.853,2.81,2.768,2.728,2.69,2.655,2.622,2.59,2.559
"Egypt, Arab Rep.",EGY,Middle East & North Africa,3.091,3.053,3.02,2.987,2.954,2.919,2.883,2.845,2.807,2.77
Spain,ESP,Europe & Central Asia,1.31,1.33,1.36,1.38,1.45,1.38,1.37,1.34,1.32,1.32
Estonia,EST,Europe & Central Asia,1.47,1.52,1.58,1.69,1.72,1.7,1.72,1.61,1.56,1.56
Ethiopia,ETH,Sub-Saharan Africa,5.87,5.693,5.52,5.353,5.193,5.043,4.902,4.769,4.642,4.519
Finland,FIN,Europe & Central Asia,1.8,1.8,1.84,1.83,1.85,1.86,1.87,1.83,1.8,1.8
Fiji,FJI,East Asia & Pacific,2.907,2.86,2.816,2.774,2.736,2.701,2.67,2.641,2.615,2.588
France,FRA,Europe & Central Asia,1.92,1.94,2,1.98,2.01,2,2.03,2.01,2.01,2.01
Gabon,GAB,Sub-Saharan Africa,4.408,4.37,4.335,4.304,4.275,4.246,4.214,4.178,4.136,4.087
United Kingdom,GBR,Europe & Central Asia,1.75,1.76,1.82,1.86,1.91,1.89,1.92,1.91,1.92,1.92
Georgia,GEO,Europe & Central Asia,1.639,1.678,1.719,1.758,1.788,1.809,1.82,1.822,1.82,1.817
Ghana,GHA,Sub-Saharan Africa,4.455,4.392,4.326,4.257,4.188,4.119,4.052,3.985,3.92,3.857
Guinea,GIN,Sub-Saharan Africa,5.649,5.576,5.501,5.423,5.343,5.26,5.174,5.088,5.001,4.915
"Gambia, The",GMB,Sub-Saharan Africa,5.827,5.812,5.803,5.799,5.798,5.798,5.796,5.789,5.775,5.751
Guinea-Bissau,GNB,Sub-Saharan Africa,5.539,5.463,5.389,5.317,5.247,5.18,5.115,5.052,4.989,4.927
Greece,GRC,Europe & Central Asia,1.3,1.32,1.4,1.38,1.47,1.49,1.51,1.39,1.34,1.29
Guatemala,GTM,Latin America & Caribbean,4.459,4.371,4.283,4.199,4.119,4.044,3.974,3.908,3.844,3.783
Guyana,GUY,Latin America & Caribbean,2.709,2.735,2.751,2.754,2.743,2.718,2.682,2.638,2.591,2.546
Honduras,HND,Latin America & Caribbean,3.579,3.492,3.413,3.34,3.273,3.212,3.154,3.101,3.05,3.001
Croatia,HRV,Europe & Central Asia,1.43,1.5,1.47,1.48,1.55,1.58,1.55,1.48,1.51,1.51
Haiti,HTI,Latin America & Caribbean,3.849,3.753,3.664,3.58,3.5,3.424,3.35,3.28,3.212,3.148
Hungary,HUN,Europe & Central Asia,1.28,1.31,1.34,1.32,1.35,1.32,1.25,1.26,1.34,1.34
Indonesia,IDN,East Asia & Pacific,2.486,2.493,2.495,2.49,2.479,2.46,2.434,2.403,2.37,2.338
India,IND,South Asia,2.884,2.817,2.753,2.694,2.643,2.6,2.563,2.532,2.505,2.479
Ireland,IRL,Europe & Central Asia,1.93,1.86,1.91,2.01,2.06,2.06,2.05,2.03,2.01,2.01
"Iran, Islamic Rep.",IRN,Middle East & North Africa,1.895,1.873,1.866,1.87,1.88,1.893,1.904,1.912,1.917,1.92
Israel,ISR,Middle East & North Africa,2.9,2.84,2.88,2.9,2.96,2.96,3.03,2.98,3.05,3.03
Italy,ITA,Europe & Central Asia,1.34,1.34,1.37,1.4,1.45,1.45,1.46,1.44,1.43,1.43
Jamaica,JAM,Latin America & Caribbean,2.498,2.47,2.442,2.414,2.387,2.36,2.334,2.309,2.284,2.26
Jordan,JOR,Middle East & North Africa,3.78,3.734,3.689,3.641,3.586,3.526,3.458,3.386,3.314,3.244
Japan,JPN,East Asia & Pacific,1.29,1.26,1.32,1.34,1.37,1.37,1.39,1.39,1.41,1.43
Kazakhstan,KAZ,Europe & Central Asia,2.21,2.22,2.36,2.5,2.7,2.55,2.6,2.59,2.62,2.64
Kenya,KEN,Sub-Saharan Africa,4.955,4.923,4.879,4.824,4.761,4.691,4.616,4.538,4.459,4.382
Kyrgyz Republic,KGZ,Europe & Central Asia,2.6,2.5,2.7,2.8,2.8,2.9,3.06,3.1,3.2,3.2
Cambodia,KHM,East Asia & Pacific,3.31,3.23,3.162,3.102,3.051,3.007,2.966,2.929,2.894,2.861
Kiribati,KIR,East Asia & Pacific,3.413,3.324,3.249,3.186,3.133,3.087,3.048,3.014,2.982,2.952
"Korea, Rep.",KOR,East Asia & Pacific,1.154,1.076,1.123,1.25,1.192,1.149,1.226,1.244,1.297,1.187
Kuwait,KWT,Middle East & North Africa,2.63,2.628,2.645,2.667,2.681,2.683,2.673,2.652,2.626,2.6
Lao PDR,LAO,East Asia & Pacific,3.619,3.562,3.52,3.481,3.432,3.368,3.29,3.2,3.108,3.02
Lebanon,LBN,Middle East & North Africa,1.854,1.765,1.686,1.621,1.57,1.535,1.513,1.502,1.498,1.495
Liberia,LBR,Sub-Saharan Africa,5.547,5.456,5.366,5.277,5.19,5.106,5.024,4.945,4.868,4.792
Libya,LBY,Middle East & North Africa,2.836,2.79,2.741,2.69,2.637,2.582,2.525,2.467,2.41,2.356
St. Lucia,LCA,Latin America & Caribbean,2.062,2.04,2.029,2.022,2.013,2,1.982,1.96,1.936,1.912
Sri Lanka,LKA,South Asia,2.274,2.286,2.298,2.311,2.323,2.335,2.343,2.347,2.346,2.339
Lesotho,LSO,Sub-Saharan Africa,3.654,3.562,3.48,3.405,3.335,3.269,3.207,3.148,3.092,3.038
Luxembourg,LUX,Europe & Central Asia,1.66,1.63,1.65,1.61,1.61,1.59,1.63,1.52,1.57,1.57
Latvia,LVA,Europe & Central Asia,1.29,1.39,1.46,1.54,1.58,1.46,1.36,1.33,1.44,1.44
Morocco,MAR,Middle East & North Africa,2.418,2.385,2.377,2.398,2.443,2.509,2.583,2.652,2.706,2.735
Moldova,MDA,Europe & Central Asia,1.489,1.487,1.487,1.488,1.487,1.483,1.477,1.469,1.462,1.456
Madagascar,MDG,Sub-Saharan Africa,5.133,5.039,4.952,4.87,4.794,4.722,4.654,4.59,4.528,4.468
Maldives,MDV,South Asia,2.596,2.508,2.449,2.41,2.382,2.36,2.339,2.314,2.287,2.256
Mexico,MEX,Latin America & Caribbean,2.484,2.448,2.413,2.379,2.346,2.313,2.281,2.248,2.216,2.185
Mali,MLI,Sub-Saharan Africa,6.797,6.796,6.799,6.806,6.817,6.83,6.841,6.85,6.852,6.847
Myanmar,MMR,East Asia & Pacific,2.178,2.137,2.103,2.075,2.049,2.026,2.003,1.98,1.959,1.938
Mongolia,MNG,East Asia & Pacific,2.141,2.193,2.254,2.315,2.368,2.41,2.437,2.447,2.446,2.436
Mozambique,MOZ,Sub-Saharan Africa,5.697,5.669,5.632,5.588,5.536,5.476,5.409,5.338,5.263,5.188
Mauritania,MRT,Sub-Saharan Africa,5.15,5.095,5.042,4.99,4.939,4.888,4.837,4.783,4.728,4.67
Mauritius,MUS,Sub-Saharan Africa,1.92,1.88,1.77,1.74,1.67,1.59,1.57,1.55,1.54,1.44
Malawi,MWI,Sub-Saharan Africa,6.002,5.95,5.899,5.843,5.781,5.712,5.636,5.554,5.471,5.389
Malaysia,MYS,East Asia & Pacific,2.307,2.216,2.146,2.093,2.052,2.023,2.002,1.986,1.975,1.964
Namibia,NAM,Sub-Saharan Africa,3.674,3.591,3.512,3.436,3.364,3.295,3.229,3.167,3.107,3.051
Niger,NER,Sub-Saharan Africa,7.636,7.617,7.602,7.593,7.588,7.585,7.584,7.581,7.574,7.561
Nigeria,NGA,Sub-Saharan Africa,6.029,6.02,6.015,6.015,6.017,6.021,6.022,6.017,6.002,5.976
Nicaragua,NIC,Latin America & Caribbean,2.903,2.848,2.802,2.759,2.717,2.675,2.631,2.585,2.541,2.498
Netherlands,NLD,Europe & Central Asia,1.72,1.71,1.72,1.72,1.77,1.79,1.79,1.76,1.72,1.72
Norway,NOR,Europe & Central Asia,1.83,1.84,1.9,1.9,1.96,1.98,1.95,1.88,1.85,1.85
Nepal,NPL,South Asia,3.486,3.34,3.194,3.046,2.899,2.755,2.619,2.496,2.389,2.3
New Zealand,NZL,East Asia & Pacific,1.98,1.97,2.01,2.17,2.18,2.12,2.15,2.06,2.05,1.95
Oman,OMN,Middle East & North Africa,3.029,2.951,2.906,2.887,2.886,2.894,2.901,2.899,2.884,2.853
Pakistan,PAK,South Asia,3.873,3.785,3.713,3.648,3.581,3.509,3.43,3.347,3.264,3.185
Panama,PAN,Latin America & Caribbean,2.724,2.696,2.667,2.637,2.608,2.578,2.549,2.521,2.493,2.466
Peru,PER,Latin America & Caribbean,2.73,2.689,2.65,2.614,2.579,2.545,2.511,2.479,2.448,2.417
Philippines,PHL,East Asia & Pacific,3.566,3.485,3.403,3.326,3.257,3.199,3.151,3.111,3.076,3.043
Papua New Guinea,PNG,East Asia & Pacific,4.279,4.226,4.174,4.122,4.067,4.011,3.954,3.896,3.838,3.781
Poland,POL,Europe & Central Asia,1.23,1.24,1.27,1.31,1.39,1.4,1.38,1.3,1.3,1.3
Portugal,PRT,Europe & Central Asia,1.4,1.41,1.37,1.35,1.39,1.34,1.39,1.35,1.28,1.28
Paraguay,PRY,Latin America & Caribbean,3.346,3.266,3.191,3.123,3.063,3.012,2.968,2.931,2.897,2.864
Qatar,QAT,Middle East & North Africa,2.703,2.555,2.418,2.299,2.203,2.133,2.085,2.055,2.036,2.019
Romania,ROU,Europe & Central Asia,1.35,1.39,1.4,1.42,1.53,1.57,1.54,1.46,1.53,1.53
Russian Federation,RUS,Europe & Central Asia,1.33,1.29,1.3,1.41,1.49,1.54,1.57,1.58,1.7,1.7
Rwanda,RWA,Sub-Saharan Africa,5.463,5.365,5.267,5.167,5.062,4.954,4.841,4.728,4.616,4.508
Saudi Arabia,SAU,Middle East & North Africa,3.349,3.234,3.136,3.05,2.971,2.898,2.829,2.763,2.702,2.644
Senegal,SEN,Sub-Saharan Africa,5.285,5.229,5.181,5.14,5.107,5.078,5.05,5.019,4.981,4.934
Singapore,SGP,East Asia & Pacific,1.26,1.26,1.28,1.29,1.28,1.22,1.15,1.2,1.29,1.19
Solomon Islands,SLB,East Asia & Pacific,4.54,4.502,4.459,4.412,4.359,4.3,4.236,4.168,4.099,4.031
Sierra Leone,SLE,Sub-Saharan Africa,5.56,5.451,5.34,5.232,5.128,5.032,4.943,4.861,4.782,4.705
El Salvador,SLV,Latin America & Caribbean,2.496,2.433,2.386,2.35,2.319,2.291,2.263,2.236,2.209,2.184
Suriname,SUR,Latin America & Caribbean,2.562,2.518,2.478,2.441,2.406,2.374,2.345,2.318,2.292,2.268
Slovak Republic,SVK,Europe & Central Asia,1.25,1.27,1.25,1.27,1.34,1.44,1.43,1.45,1.34,1.34
Slovenia,SVN,Europe & Central Asia,1.25,1.26,1.31,1.38,1.53,1.53,1.57,1.56,1.58,1.58
Sweden,SWE,Europe & Central Asia,1.75,1.77,1.85,1.88,1.91,1.94,1.98,1.9,1.91,1.91
Seychelles,SYC,Sub-Saharan Africa,2,2.2,2.1,2.24,2.3,2.4,2.1,2.4,2.4,2.4
Chad,TCD,Sub-Saharan Africa,7.147,7.074,6.992,6.902,6.805,6.702,6.596,6.486,6.375,6.263
Togo,TGO,Sub-Saharan Africa,5.059,5.009,4.962,4.918,4.876,4.835,4.792,4.746,4.695,4.639
Thailand,THA,East Asia & Pacific,1.563,1.539,1.517,1.496,1.477,1.459,1.443,1.427,1.412,1.399
Tonga,TON,East Asia & Pacific,4.177,4.144,4.104,4.059,4.012,3.963,3.914,3.864,3.815,3.767
Trinidad and Tobago,TTO,Latin America & Caribbean,1.758,1.769,1.779,1.788,1.796,1.8,1.802,1.801,1.799,1.797
Tunisia,TUN,Middle East & North Africa,2.02,2.04,2.03,2.04,2.06,2.05,2.13,2.15,2.2,2.25
Turkey,TUR,Europe & Central Asia,2.27,2.234,2.202,2.173,2.147,2.123,2.101,2.08,2.06,2.041
Tanzania,TZA,Sub-Saharan Africa,5.651,5.638,5.616,5.585,5.543,5.49,5.428,5.359,5.287,5.214
Uganda,UGA,Sub-Saharan Africa,6.653,6.583,6.507,6.425,6.338,6.248,6.155,6.06,5.964,5.867
Ukraine,UKR,Europe & Central Asia,1.218,1.213,1.31,1.345,1.458,1.46,1.445,1.459,1.531,1.506
Uruguay,URY,Latin America & Caribbean,2.171,2.155,2.138,2.122,2.107,2.093,2.08,2.068,2.056,2.046
United States,USA,North America,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8695
Uzbekistan,UZB,Europe & Central Asia,2.46,2.36,2.39,2.55,2.64,2.53,2.34,2.3,2.3,2.2
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,2.196,2.17,2.149,2.131,2.112,2.092,2.07,2.046,2.021,1.997
"Venezuela, RB",VEN,Latin America & Caribbean,2.664,2.629,2.595,2.562,2.531,2.501,2.472,2.444,2.417,2.39
Vietnam,VNM,East Asia & Pacific,1.902,1.897,1.889,1.877,1.862,1.843,1.82,1.794,1.768,1.743
Vanuatu,VUT,East Asia & Pacific,3.95,3.851,3.76,3.679,3.608,3.549,3.499,3.456,3.419,3.382
Samoa,WSM,East Asia & Pacific,4.456,4.46,4.46,4.45,4.426,4.389,4.338,4.277,4.212,4.147
"Yemen, Rep.",YEM,Middle East & North Africa,5.588,5.393,5.199,5.01,4.829,4.658,4.498,4.348,4.207,4.075
South Africa,ZAF,Sub-Saharan Africa,2.721,2.675,2.627,2.58,2.538,2.5,2.467,2.438,2.412,2.387
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,6.809,6.728,6.642,6.55,6.454,6.354,6.251,6.146,6.039,5.933
Zambia,ZMB,Sub-Saharan Africa,5.974,5.954,5.932,5.908,5.881,5.849,5.813,5.773,5.731,5.687
Zimbabwe,ZWE,Sub-Saharan Africa,3.987,3.969,3.941,3.903,3.853,3.792,3.721,3.643,3.564,3.486
